,Epsilon,Lamda,Size,Criterion,Loss,OptimizerType,Checkpoint,Trial
104,0.3,3,Experimental,RMSE,57.0881462097168,OptimiserType.AdamW,26,1
105,0.3,3,Experimental,MAPE,0.9813136458396912,OptimiserType.AdamW,26,1
106,0.3,3,Experimental,MAE,54.84854507446289,OptimiserType.AdamW,26,1
107,0.3,3,Experimental,MSE,3333.1533203125,OptimiserType.AdamW,26,1
108,0.3,3,Experimental,RMSE,57.05874252319336,OptimiserType.AdamW,27,1
109,0.3,3,Experimental,MAPE,0.9806219339370728,OptimiserType.AdamW,27,1
110,0.3,3,Experimental,MAE,54.8174057006836,OptimiserType.AdamW,27,1
111,0.3,3,Experimental,MSE,3329.7734375,OptimiserType.AdamW,27,1
112,0.3,3,Experimental,RMSE,57.0286750793457,OptimiserType.AdamW,28,1
113,0.3,3,Experimental,MAPE,0.979912519454956,OptimiserType.AdamW,28,1
114,0.3,3,Experimental,MAE,54.78605651855469,OptimiserType.AdamW,28,1
115,0.3,3,Experimental,MSE,3326.312744140625,OptimiserType.AdamW,28,1
116,0.3,3,Experimental,RMSE,56.99778747558594,OptimiserType.AdamW,29,1
117,0.3,3,Experimental,MAPE,0.9791859984397888,OptimiserType.AdamW,29,1
118,0.3,3,Experimental,MAE,54.75432968139648,OptimiserType.AdamW,29,1
119,0.3,3,Experimental,MSE,3322.772216796875,OptimiserType.AdamW,29,1
120,0.3,3,Experimental,RMSE,56.966285705566406,OptimiserType.AdamW,30,1
121,0.3,3,Experimental,MAPE,0.9784446358680724,OptimiserType.AdamW,30,1
122,0.3,3,Experimental,MAE,54.72130584716797,OptimiserType.AdamW,30,1
123,0.3,3,Experimental,MSE,3319.165283203125,OptimiserType.AdamW,30,1
124,0.3,3,Experimental,RMSE,56.93415069580078,OptimiserType.AdamW,31,1
125,0.3,3,Experimental,MAPE,0.9776877164840698,OptimiserType.AdamW,31,1
126,0.3,3,Experimental,MAE,54.68660354614258,OptimiserType.AdamW,31,1
127,0.3,3,Experimental,MSE,3315.475830078125,OptimiserType.AdamW,31,1
128,0.3,3,Experimental,RMSE,56.90116500854492,OptimiserType.AdamW,32,1
129,0.3,3,Experimental,MAPE,0.976917326450348,OptimiserType.AdamW,32,1
130,0.3,3,Experimental,MAE,54.65299224853516,OptimiserType.AdamW,32,1
131,0.3,3,Experimental,MSE,3311.7099609375,OptimiserType.AdamW,32,1
132,0.3,3,Experimental,RMSE,56.867523193359375,OptimiserType.AdamW,33,1
133,0.3,3,Experimental,MAPE,0.9761236906051636,OptimiserType.AdamW,33,1
134,0.3,3,Experimental,MAE,54.61745071411133,OptimiserType.AdamW,33,1
135,0.3,3,Experimental,MSE,3307.859619140625,OptimiserType.AdamW,33,1
136,0.3,3,Experimental,RMSE,56.83330154418945,OptimiserType.AdamW,34,1
137,0.3,3,Experimental,MAPE,0.9753162264823914,OptimiserType.AdamW,34,1
138,0.3,3,Experimental,MAE,54.58165740966797,OptimiserType.AdamW,34,1
139,0.3,3,Experimental,MSE,3303.931884765625,OptimiserType.AdamW,34,1
140,0.3,3,Experimental,RMSE,56.7982177734375,OptimiserType.AdamW,35,1
141,0.3,3,Experimental,MAPE,0.9744904637336732,OptimiserType.AdamW,35,1
142,0.3,3,Experimental,MAE,54.544471740722656,OptimiserType.AdamW,35,1
143,0.3,3,Experimental,MSE,3299.923583984375,OptimiserType.AdamW,35,1
144,0.3,3,Experimental,RMSE,56.76246643066406,OptimiserType.AdamW,36,1
145,0.3,3,Experimental,MAPE,0.9736459255218506,OptimiserType.AdamW,36,1
146,0.3,3,Experimental,MAE,54.50704193115234,OptimiserType.AdamW,36,1
147,0.3,3,Experimental,MSE,3295.820068359375,OptimiserType.AdamW,36,1
148,0.3,3,Experimental,RMSE,56.72587585449219,OptimiserType.AdamW,37,1
149,0.3,3,Experimental,MAPE,0.972781538963318,OptimiserType.AdamW,37,1
150,0.3,3,Experimental,MAE,54.46799087524414,OptimiserType.AdamW,37,1
151,0.3,3,Experimental,MSE,3291.64892578125,OptimiserType.AdamW,37,1
152,0.3,3,Experimental,RMSE,56.688507080078125,OptimiserType.AdamW,38,1
153,0.3,3,Experimental,MAPE,0.9719040393829346,OptimiserType.AdamW,38,1
154,0.3,3,Experimental,MAE,54.42995071411133,OptimiserType.AdamW,38,1
155,0.3,3,Experimental,MSE,3287.368896484375,OptimiserType.AdamW,38,1
156,0.3,3,Experimental,RMSE,56.65043640136719,OptimiserType.AdamW,39,1
157,0.3,3,Experimental,MAPE,0.9710073471069336,OptimiserType.AdamW,39,1
158,0.3,3,Experimental,MAE,54.39011001586914,OptimiserType.AdamW,39,1
159,0.3,3,Experimental,MSE,3283.01953125,OptimiserType.AdamW,39,1
160,0.3,3,Experimental,RMSE,56.61146926879883,OptimiserType.AdamW,40,1
161,0.3,3,Experimental,MAPE,0.9700902700424194,OptimiserType.AdamW,40,1
162,0.3,3,Experimental,MAE,54.34864807128906,OptimiserType.AdamW,40,1
163,0.3,3,Experimental,MSE,3278.595947265625,OptimiserType.AdamW,40,1
164,0.3,3,Experimental,RMSE,56.57162857055664,OptimiserType.AdamW,41,1
165,0.3,3,Experimental,MAPE,0.9691559076309204,OptimiserType.AdamW,41,1
166,0.3,3,Experimental,MAE,54.30716323852539,OptimiserType.AdamW,41,1
167,0.3,3,Experimental,MSE,3274.063232421875,OptimiserType.AdamW,41,1
168,0.3,3,Experimental,RMSE,56.53135681152344,OptimiserType.AdamW,42,1
169,0.3,3,Experimental,MAPE,0.9682024121284484,OptimiserType.AdamW,42,1
170,0.3,3,Experimental,MAE,54.2651596069336,OptimiserType.AdamW,42,1
171,0.3,3,Experimental,MSE,3269.453125,OptimiserType.AdamW,42,1
172,0.3,3,Experimental,RMSE,56.49000549316406,OptimiserType.AdamW,43,1
173,0.3,3,Experimental,MAPE,0.967228889465332,OptimiserType.AdamW,43,1
174,0.3,3,Experimental,MAE,54.22166442871094,OptimiserType.AdamW,43,1
175,0.3,3,Experimental,MSE,3264.7548828125,OptimiserType.AdamW,43,1
176,0.3,3,Experimental,RMSE,56.44792175292969,OptimiserType.AdamW,44,1
177,0.3,3,Experimental,MAPE,0.9662375450134276,OptimiserType.AdamW,44,1
178,0.3,3,Experimental,MAE,54.17779541015625,OptimiserType.AdamW,44,1
179,0.3,3,Experimental,MSE,3259.964599609375,OptimiserType.AdamW,44,1
180,0.3,3,Experimental,RMSE,56.40486907958984,OptimiserType.AdamW,45,1
181,0.3,3,Experimental,MAPE,0.9652261734008788,OptimiserType.AdamW,45,1
182,0.3,3,Experimental,MAE,54.13208770751953,OptimiserType.AdamW,45,1
183,0.3,3,Experimental,MSE,3255.084716796875,OptimiserType.AdamW,45,1
184,0.3,3,Experimental,RMSE,56.36101531982422,OptimiserType.AdamW,46,1
185,0.3,3,Experimental,MAPE,0.9641917943954468,OptimiserType.AdamW,46,1
186,0.3,3,Experimental,MAE,54.08628845214844,OptimiserType.AdamW,46,1
187,0.3,3,Experimental,MSE,3250.11181640625,OptimiserType.AdamW,46,1
188,0.3,3,Experimental,RMSE,56.31656646728516,OptimiserType.AdamW,47,1
