,Model,Epsilon,Sigma,Size,Criterion,Loss,Epoch,OptimizerType,Trial,TestOrVal
134,LSTM,0.1,1,ExperimentalLR,MAE,12.221592903137209,26,Adamax,1da6e_00001,Validation
135,LSTM,0.1,1,ExperimentalLR,MSE,420.2785339355469,26,Adamax,1da6e_00001,Validation
136,LSTM,0.1,1,ExperimentalLR,RMSE,16.35491180419922,27,Adamax,1da6e_00001,Validation
137,LSTM,0.1,1,ExperimentalLR,MAPE,0.5062416791915894,27,Adamax,1da6e_00001,Validation
138,LSTM,0.1,1,ExperimentalLR,MAE,12.22143840789795,27,Adamax,1da6e_00001,Validation
139,LSTM,0.1,1,ExperimentalLR,MSE,420.3495178222656,27,Adamax,1da6e_00001,Validation
140,LSTM,0.1,1,ExperimentalLR,RMSE,16.35553741455078,28,Adamax,1da6e_00001,Validation
141,LSTM,0.1,1,ExperimentalLR,MAPE,0.5062674283981323,28,Adamax,1da6e_00001,Validation
142,LSTM,0.1,1,ExperimentalLR,MAE,12.22141456604004,28,Adamax,1da6e_00001,Validation
143,LSTM,0.1,1,ExperimentalLR,MSE,420.421630859375,28,Adamax,1da6e_00001,Validation
144,LSTM,0.1,1,ExperimentalLR,RMSE,16.356199264526367,29,Adamax,1da6e_00001,Validation
145,LSTM,0.1,1,ExperimentalLR,MAPE,0.5062949657440186,29,Adamax,1da6e_00001,Validation
146,LSTM,0.1,1,ExperimentalLR,MAE,12.221331596374512,29,Adamax,1da6e_00001,Validation
147,LSTM,0.1,1,ExperimentalLR,MSE,420.49310302734375,29,Adamax,1da6e_00001,Validation
148,LSTM,0.1,1,ExperimentalLR,RMSE,16.356199264526367,29,Adamax,1da6e_00001,Test
149,LSTM,0.1,1,ExperimentalLR,MAPE,0.5062949657440186,29,Adamax,1da6e_00001,Test
150,LSTM,0.1,1,ExperimentalLR,MAE,12.221331596374512,29,Adamax,1da6e_00001,Test
151,LSTM,0.1,1,ExperimentalLR,MSE,420.49310302734375,29,Adamax,1da6e_00001,Test
152,LSTM,0.1,1,ExperimentalLR,RMSE,16.247203826904297,0,Adamax,1da6e_00002,Validation
153,LSTM,0.1,1,ExperimentalLR,MAPE,0.4820348918437958,0,Adamax,1da6e_00002,Validation
154,LSTM,0.1,1,ExperimentalLR,MAE,13.317364692687988,0,Adamax,1da6e_00002,Validation
155,LSTM,0.1,1,ExperimentalLR,MSE,343.7148742675781,0,Adamax,1da6e_00002,Validation
156,LSTM,0.1,1,ExperimentalLR,RMSE,17.980024337768555,1,Adamax,1da6e_00002,Validation
157,LSTM,0.1,1,ExperimentalLR,MAPE,0.5551901459693909,1,Adamax,1da6e_00002,Validation
158,LSTM,0.1,1,ExperimentalLR,MAE,13.609262466430664,1,Adamax,1da6e_00002,Validation
159,LSTM,0.1,1,ExperimentalLR,MSE,505.290283203125,1,Adamax,1da6e_00002,Validation
160,LSTM,0.1,1,ExperimentalLR,RMSE,18.004650115966797,2,Adamax,1da6e_00002,Validation
161,LSTM,0.1,1,ExperimentalLR,MAPE,0.5558954477310181,2,Adamax,1da6e_00002,Validation
162,LSTM,0.1,1,ExperimentalLR,MAE,13.639119148254396,2,Adamax,1da6e_00002,Validation
163,LSTM,0.1,1,ExperimentalLR,MSE,506.2174987792969,2,Adamax,1da6e_00002,Validation
164,LSTM,0.1,1,ExperimentalLR,RMSE,18.03982734680176,3,Adamax,1da6e_00002,Validation
165,LSTM,0.1,1,ExperimentalLR,MAPE,0.5569043159484863,3,Adamax,1da6e_00002,Validation
166,LSTM,0.1,1,ExperimentalLR,MAE,13.681618690490724,3,Adamax,1da6e_00002,Validation
167,LSTM,0.1,1,ExperimentalLR,MSE,507.54388427734375,3,Adamax,1da6e_00002,Validation
168,LSTM,0.1,1,ExperimentalLR,RMSE,18.110652923583984,4,Adamax,1da6e_00002,Validation
169,LSTM,0.1,1,ExperimentalLR,MAPE,0.5589261054992676,4,Adamax,1da6e_00002,Validation
170,LSTM,0.1,1,ExperimentalLR,MAE,13.76702117919922,4,Adamax,1da6e_00002,Validation
171,LSTM,0.1,1,ExperimentalLR,MSE,510.1969604492188,4,Adamax,1da6e_00002,Validation
172,LSTM,0.1,1,ExperimentalLR,RMSE,18.148759841918945,5,Adamax,1da6e_00002,Validation
173,LSTM,0.1,1,ExperimentalLR,MAPE,0.5600128769874573,5,Adamax,1da6e_00002,Validation
174,LSTM,0.1,1,ExperimentalLR,MAE,13.813344955444336,5,Adamax,1da6e_00002,Validation
175,LSTM,0.1,1,ExperimentalLR,MSE,511.6219177246094,5,Adamax,1da6e_00002,Validation
176,LSTM,0.1,1,ExperimentalLR,RMSE,16.247203826904297,5,Adamax,1da6e_00002,Test
177,LSTM,0.1,1,ExperimentalLR,MAPE,0.4820348918437958,5,Adamax,1da6e_00002,Test
178,LSTM,0.1,1,ExperimentalLR,MAE,13.317364692687988,5,Adamax,1da6e_00002,Test
179,LSTM,0.1,1,ExperimentalLR,MSE,343.7148742675781,5,Adamax,1da6e_00002,Test
180,LSTM,0.1,1,ExperimentalLR,RMSE,18.34909439086914,0,AdamW,1da6e_00003,Validation
181,LSTM,0.1,1,ExperimentalLR,MAPE,0.5649394989013672,0,AdamW,1da6e_00003,Validation
182,LSTM,0.1,1,ExperimentalLR,MAE,14.055516242980955,0,AdamW,1da6e_00003,Validation
183,LSTM,0.1,1,ExperimentalLR,MSE,517.5237426757812,0,AdamW,1da6e_00003,Validation
184,LSTM,0.1,1,ExperimentalLR,RMSE,16.9294376373291,1,AdamW,1da6e_00003,Validation
185,LSTM,0.1,1,ExperimentalLR,MAPE,0.524754524230957,1,AdamW,1da6e_00003,Validation
186,LSTM,0.1,1,ExperimentalLR,MAE,12.476946830749512,1,AdamW,1da6e_00003,Validation
187,LSTM,0.1,1,ExperimentalLR,MSE,461.125,1,AdamW,1da6e_00003,Validation
188,LSTM,0.1,1,ExperimentalLR,RMSE,16.44345474243164,2,AdamW,1da6e_00003,Validation
189,LSTM,0.1,1,ExperimentalLR,MAPE,0.5097193717956543,2,AdamW,1da6e_00003,Validation
190,LSTM,0.1,1,ExperimentalLR,MAE,12.225218772888184,2,AdamW,1da6e_00003,Validation
191,LSTM,0.1,1,ExperimentalLR,MSE,429.2164611816406,2,AdamW,1da6e_00003,Validation
192,LSTM,0.1,1,ExperimentalLR,RMSE,16.376249313354492,3,AdamW,1da6e_00003,Validation
193,LSTM,0.1,1,ExperimentalLR,MAPE,0.5071224570274353,3,AdamW,1da6e_00003,Validation
194,LSTM,0.1,1,ExperimentalLR,MAE,12.219813346862791,3,AdamW,1da6e_00003,Validation
195,LSTM,0.1,1,ExperimentalLR,MSE,422.6629943847656,3,AdamW,1da6e_00003,Validation
196,LSTM,0.1,1,ExperimentalLR,RMSE,16.472640991210938,4,AdamW,1da6e_00003,Validation
197,LSTM,0.1,1,ExperimentalLR,MAPE,0.5107771158218384,4,AdamW,1da6e_00003,Validation
198,LSTM,0.1,1,ExperimentalLR,MAE,12.23117733001709,4,AdamW,1da6e_00003,Validation
199,LSTM,0.1,1,ExperimentalLR,MSE,431.7945556640625,4,AdamW,1da6e_00003,Validation
200,LSTM,0.1,1,ExperimentalLR,RMSE,16.35544204711914,5,AdamW,1da6e_00003,Validation
201,LSTM,0.1,1,ExperimentalLR,MAPE,0.5063134431838989,5,AdamW,1da6e_00003,Validation
202,LSTM,0.1,1,ExperimentalLR,MAE,12.219281196594238,5,AdamW,1da6e_00003,Validation
203,LSTM,0.1,1,ExperimentalLR,MSE,420.6083068847656,5,AdamW,1da6e_00003,Validation
204,LSTM,0.1,1,ExperimentalLR,RMSE,16.44413948059082,6,AdamW,1da6e_00003,Validation
205,LSTM,0.1,1,ExperimentalLR,MAPE,0.5097852349281311,6,AdamW,1da6e_00003,Validation
206,LSTM,0.1,1,ExperimentalLR,MAE,12.22342300415039,6,AdamW,1da6e_00003,Validation
207,LSTM,0.1,1,ExperimentalLR,MSE,429.45404052734375,6,AdamW,1da6e_00003,Validation
208,LSTM,0.1,1,ExperimentalLR,RMSE,16.432889938354492,7,AdamW,1da6e_00003,Validation
209,LSTM,0.1,1,ExperimentalLR,MAPE,0.5093420147895813,7,AdamW,1da6e_00003,Validation
210,LSTM,0.1,1,ExperimentalLR,MAE,12.223135948181152,7,AdamW,1da6e_00003,Validation
211,LSTM,0.1,1,ExperimentalLR,MSE,428.2999267578125,7,AdamW,1da6e_00003,Validation
212,LSTM,0.1,1,ExperimentalLR,RMSE,16.378376007080078,8,AdamW,1da6e_00003,Validation
213,LSTM,0.1,1,ExperimentalLR,MAPE,0.5072121024131775,8,AdamW,1da6e_00003,Validation
